Waterbody,Section,Species,Survey Year,Count,Average Length,Average Weight,StdDev Length,StdDev Weight,Max Length,Max Weight,Min Length,Min Weight
Flathead Lake,Fall,Bull Trout,2017,9,541,1361.7,132.86,1431.1,717,3678,331,0
Flathead Lake,Fall,Bull Trout,2016,4,602,1139,63.86,0,667,1139,515,1139
Flathead Lake,Fall,Bull Trout,2015,3,563.7,1146,143.34,325.27,725,1376,451,916
Flathead Lake,Fall,Bull Trout,2014,4,490,1073,117.9,905.07,630,2059,342,280
Flathead Lake,Fall,Bull Trout,2013,5,487.4,286,192.07,0,740,286,255,286
Flathead Lake,Spring,Bull Trout,2017,3,494.7,918,141.3,0,641,918,359,918
Flathead Lake,Spring,Bull Trout,2016,10,386.5,831.6,199.61,1326.81,730,3739,223,93
Flathead Lake,Spring,Bull Trout,2015,17,484.1,981.6,170.56,1155.2,755,4085,214,68
Flathead Lake,Spring,Bull Trout,2014,4,445.5,536.5,170.23,391.03,686,813,320,260
Flathead Lake,Spring,Bull Trout,2013,10,325.5,158.8,82.41,57.81,483,200,199,59
Flathead Lake,Spring,Bull Trout,2012,20,385.9,479.6,120.91,589.73,710,2395,222,80
Flathead Lake,Spring,Bull Trout,2011,13,437.2,156.2,206.23,95.81,735,293,200,59
Flathead Lake,Spring,Bull Trout,2010,15,541.7,1122.6,167.36,917.79,750,2546,253,165
Flathead Lake,Spring,Bull Trout,2009,13,580,1558.4,135.03,1216.19,715,2842,272,161
Flathead Lake,Spring,Bull Trout,2008,11,538.5,1661.7,138.51,1242.29,666,2924,231,99
Flathead Lake,Spring,Bull Trout,2007,16,381.6,420.2,130.03,336.42,710,1068,215,68
Flathead Lake,Spring,Bull Trout,2006,10,489.3,185,229.9,196.15,850,462,246,0
Flathead Lake,Fall,Lake Trout,2017,174,559,1750.4,174.51,1484.06,910,7697,153,0
Flathead Lake,Fall,Lake Trout,2016,148,545.3,1336.4,183.5,1078.72,950,6028,143,23
Flathead Lake,Fall,Lake Trout,2015,192,561.4,1582.3,174.11,1339.45,1016,9133,95,0
Flathead Lake,Fall,Lake Trout,2014,245,531.2,1566.1,180.82,1539.39,995,8913,130,14
Flathead Lake,Fall,Lake Trout,2013,158,552.1,1132.8,150.19,861.16,997,5901,191,60
Flathead Lake,Spring,Lake Trout,2017,48,563.2,1440.1,168.94,1147.61,1022,4505,301,162
Flathead Lake,Spring,Lake Trout,2016,42,531.3,1306.4,180.82,1401.82,889,5783,301,193
Flathead Lake,Spring,Lake Trout,2015,71,549.4,1381.7,188.49,1424.45,907,6771,276,148
Flathead Lake,Spring,Lake Trout,2014,27,694.3,2996.8,159.96,1940.44,1150,7503,342,282
Flathead Lake,Spring,Lake Trout,2013,52,658.7,2524.4,162.99,1717.11,972,9307,284,172
Flathead Lake,Spring,Lake Trout,2012,60,571.3,1347.9,159.22,1124.74,915,6172,326,202
Flathead Lake,Spring,Lake Trout,2011,46,632.1,1760.3,161.75,1116.18,970,4518,314,212
Flathead Lake,Spring,Lake Trout,2010,45,628.7,2137.4,161.38,1374.28,975,5422,255,146
Flathead Lake,Spring,Lake Trout,2009,80,631.4,1774,152.38,1326.99,1110,9004,311,216
Flathead Lake,Spring,Lake Trout,2008,36,619.7,2325.2,132.05,1665.06,925,7491,401,457
Flathead Lake,Spring,Lake Trout,2007,59,556.7,1267.5,168.65,990.13,990,4054,217,68
Flathead Lake,Spring,Lake Trout,2006,48,657.9,1924,162.77,1239.61,925,5290,317,255
