Station Name,Station ID/Network List,"Longitude, Latitude",Units
H U N G R Y   H O R S E   D A M,"2 4 4 3 2 8 / C O O P ,   U S C 0 0 2 4 4 3 2 8 / G H C N ,   H G H M 8 / N W S L I","- 1 1 4 . 0 2 1 7 ,   4 8 . 3 4 2 6",e n g l i s h
DataFlags,M=Missing,T=Trace,
,,,
Date,TMaxF,TMinF,PrcpIN
10/1/1951,58,46,0.42
10/2/1951,56,46,0.71
10/3/1951,57,41,0.25
10/4/1951,52,41,0.07
10/5/1951,54,45,0.01
10/6/1951,55,32,0.01
10/7/1951,53,34,T
10/8/1951,59,35,0
10/9/1951,62,37,T
10/10/1951,63,34,T
10/11/1951,64,36,0
10/12/1951,55,41,0.14
10/13/1951,50,44,0.2
10/14/1951,54,41,0.23
10/15/1951,50,39,0.56
10/16/1951,40,26,0.11
10/17/1951,30,22,0.8
10/18/1951,34,21,T
10/19/1951,35,23,0.1
10/20/1951,41,32,0.42
10/21/1951,39,26,0.3
10/22/1951,40,27,0.1
10/23/1951,40,32,0.2
10/24/1951,39,32,0.57
10/25/1951,41,29,0
10/26/1951,42,28,0
10/27/1951,44,27,0
10/28/1951,41,27,0
10/29/1951,44,30,1.13
10/30/1951,34,23,0.15
10/31/1951,34,18,0.08
11/1/1951,32,3,0
11/2/1951,27,3,0
11/3/1951,34,15,0
11/4/1951,36,16,0.2
11/5/1951,41,26,0
11/6/1951,42,17,0
11/7/1951,38,23,0
11/8/1951,39,27,0.02
11/9/1951,48,33,0
11/10/1951,45,31,0.03
11/11/1951,41,32,0.29
11/12/1951,43,32,0.2
11/13/1951,48,31,0.04
11/14/1951,43,28,0.01
11/15/1951,34,26,0.14
11/16/1951,34,20,0.07
11/17/1951,31,8,0
11/18/1951,28,8,0
11/19/1951,30,9,0
11/20/1951,34,15,0
11/21/1951,30,17,0.01
11/22/1951,25,20,0.07
11/23/1951,30,17,0.01
11/24/1951,32,21,0
11/25/1951,35,24,0
11/26/1951,36,24,T
11/27/1951,45,33,0.06
11/28/1951,45,33,0.08
11/29/1951,43,35,0.02
11/30/1951,42,32,0.16
12/1/1951,48,32,0.11
12/2/1951,49,28,0
12/3/1951,38,28,0.12
12/4/1951,40,29,0
12/5/1951,39,30,0.4
12/6/1951,35,27,0.1
12/7/1951,32,21,0.08
12/8/1951,28,4,0
12/9/1951,25,1,0
12/10/1951,21,6,T
