Station Name,Station ID/Network List,"Longitude, Latitude",Units
P O L S O N   K E R R   D A M,"2 4 6 6 4 0 / C O O P ,   U S C 0 0 2 4 6 6 4 0 / G H C N ,   K E R M 8 / N W S L I","- 1 1 4 . 2 4 1 9 ,   4 7 . 6 7 7 5",e n g l i s h
DataFlags,M=Missing,T=Trace,
,,,
Date,TMaxF,TMinF,PrcpIN
10/1/1951,58,46,0.15
10/2/1951,61,45,0.12
10/3/1951,61,46,0
10/4/1951,61,45,0.11
10/5/1951,59,44,0
10/6/1951,58,34,0
10/7/1951,62,46,0
10/8/1951,62,37,0
10/9/1951,62,37,0
10/10/1951,59,40,0
10/11/1951,58,42,0.26
10/12/1951,55,38,0.21
10/13/1951,56,47,0
10/14/1951,57,43,0.3
10/15/1951,56,35,0.06
10/16/1951,50,32,0
10/17/1951,43,29,0.25
10/18/1951,40,29,T
10/19/1951,48,31,0.08
10/20/1951,49,39,0.37
10/21/1951,48,38,0
10/22/1951,48,33,0
10/23/1951,49,36,0.09
10/24/1951,45,26,0
10/25/1951,46,31,0
10/26/1951,48,28,0
10/27/1951,50,25,0
10/28/1951,52,24,0
10/29/1951,60,31,0.22
10/30/1951,54,26,0.27
10/31/1951,34,25,0
11/1/1951,30,13,0
11/2/1951,36,13,0
11/3/1951,33,28,0.21
11/4/1951,46,30,0.01
11/5/1951,46,30,0
11/6/1951,44,24,0
11/7/1951,40,35,0
11/8/1951,49,31,0
11/9/1951,49,36,0
11/10/1951,48,35,0.03
11/11/1951,49,37,0.03
11/12/1951,45,35,0.04
11/13/1951,43,31,0.06
11/14/1951,43,23,0.06
11/15/1951,34,28,0
11/16/1951,38,21,0
11/17/1951,35,15,0
11/18/1951,31,17,0
11/19/1951,30,21,0
11/20/1951,28,22,0
11/21/1951,32,27,0.11
11/22/1951,38,24,0.01
11/23/1951,37,25,0
11/24/1951,37,22,0
11/25/1951,30,23,0
11/26/1951,49,29,0
11/27/1951,42,25,0
11/28/1951,48,35,0
11/29/1951,45,30,0
11/30/1951,51,33,0.2
12/1/1951,53,35,0.02
12/2/1951,46,30,0
12/3/1951,44,28,0
12/4/1951,40,27,0
12/5/1951,40,26,0
12/6/1951,36,25,0
12/7/1951,36,22,0
12/8/1951,31,11,0
12/9/1951,24,9,0
12/10/1951,32,20,0.03
12/11/1951,47,27,0
12/12/1951,46,27,0
12/13/1951,40,24,0.15
12/14/1951,28,13,0.06
12/15/1951,17,12,0.24
12/16/1951,26,15,0.17
12/17/1951,28,13,0
12/18/1951,37,22,0.09
12/19/1951,35,4,0.03
12/20/1951,10,2,0.04
12/21/1951,18,2,0.23
12/22/1951,28,16,0.41
12/23/1951,26,-2,0
12/24/1951,7,-3,T
12/25/1951,5,-5,0
12/26/1951,17,1,0.15
12/27/1951,17,7,0.18
12/28/1951,22,13,T
12/29/1951,38,15,0.08
12/30/1951,37,9,0.04
12/31/1951,12,3,0.02
1/1/1952,15,-10,T
1/2/1952,4,-12,0
1/3/1952,5,-3,0
1/4/1952,10,-1,0
1/5/1952,20,6,0
1/6/1952,25,12,0
1/7/1952,25,13,0
1/8/1952,34,15,0
1/9/1952,35,12,0
1/10/1952,36,32,0
1/11/1952,33,16,0
1/12/1952,23,14,0
1/13/1952,18,1,0
1/14/1952,22,10,0
1/15/1952,23,17,0.07
1/16/1952,24,16,0
1/17/1952,32,12,0
1/18/1952,36,18,T
1/19/1952,34,27,0
1/20/1952,35,25,0
1/21/1952,31,14,0
1/22/1952,22,6,0.02
1/23/1952,10,2,0.18
1/24/1952,20,5,0.2
1/25/1952,37,11,0
1/26/1952,45,16,T
1/27/1952,47,35,T
1/28/1952,44,23,0
1/29/1952,43,21,0
1/30/1952,41,24,T
1/31/1952,44,33,0
2/1/1952,46,30,0
2/2/1952,45,24,0
2/3/1952,39,29,T
2/4/1952,45,30,0.35
2/5/1952,41,29,0
2/6/1952,50,22,0
2/7/1952,45,27,0
2/8/1952,46,32,0
2/9/1952,48,22,0
2/10/1952,48,26,0
2/11/1952,44,22,0
2/12/1952,44,21,0
2/13/1952,45,23,0.08
2/14/1952,35,12,0
2/15/1952,36,22,T
2/16/1952,34,27,0.28
2/17/1952,34,23,0.16
2/18/1952,28,13,T
2/19/1952,26,5,T
2/20/1952,32,8,0.01
2/21/1952,33,8,0
2/22/1952,30,7,0
2/23/1952,33,8,0
2/24/1952,26,4,0
2/25/1952,38,1,0
2/26/1952,39,16,0
2/27/1952,38,30,0.46
2/28/1952,39,25,0.04
2/29/1952,36,11,0
3/1/1952,36,12,0
3/2/1952,35,10,0
3/3/1952,42,12,T
3/4/1952,43,24,T
3/5/1952,42,24,T
3/6/1952,40,17,0
3/7/1952,40,9,0
3/8/1952,44,13,0
3/9/1952,44,20,T
3/10/1952,47,31,T
3/11/1952,44,23,0
3/12/1952,39,23,0.35
3/13/1952,43,22,0
3/14/1952,42,22,0
3/15/1952,43,17,0
3/16/1952,46,19,0
3/17/1952,49,22,0
3/18/1952,46,33,0
3/19/1952,50,20,0
3/20/1952,42,24,0
3/21/1952,38,19,T
3/22/1952,41,14,0
3/23/1952,49,29,0
3/24/1952,51,32,0.1
3/25/1952,48,30,0.04
3/26/1952,56,38,0
3/27/1952,62,30,0
3/28/1952,62,38,0
3/29/1952,49,31,0
3/30/1952,47,31,0.02
3/31/1952,43,26,T
4/1/1952,49,19,0
4/2/1952,47,27,0
4/3/1952,50,28,0
4/4/1952,61,27,0
4/5/1952,71,32,0
4/6/1952,74,32,0
4/7/1952,72,34,0
4/8/1952,50,18,T
4/9/1952,48,21,0
4/10/1952,57,23,0
4/11/1952,57,31,0
4/12/1952,62,38,0
