Station,Date,TMaxF,TMinF,PrecipIn
Polson Kerr Dam,1/1/2016,22,17,0
Polson Kerr Dam,1/2/2016,19,15,0
Polson Kerr Dam,1/3/2016,18,15,0
Polson Kerr Dam,1/4/2016,21,15,0
Polson Kerr Dam,1/5/2016,25,15,0
Polson Kerr Dam,1/6/2016,24,20,0
Polson Kerr Dam,1/7/2016,28,22,0.01
Polson Kerr Dam,1/8/2016,30,25,0.05
Polson Kerr Dam,1/9/2016,30,26,0.001
Polson Kerr Dam,1/10/2016,31,25,0
Polson Kerr Dam,1/11/2016,30,15,0
Polson Kerr Dam,1/12/2016,30,15,0
Polson Kerr Dam,1/13/2016,35,26,0.18
Polson Kerr Dam,1/14/2016,37,32,0.12
Polson Kerr Dam,1/15/2016,33,28,0.02
Polson Kerr Dam,1/16/2016,32,23,0.14
Polson Kerr Dam,1/17/2016,35,27,0.06
Polson Kerr Dam,1/18/2016,37,31,0.11
Polson Kerr Dam,1/19/2016,37,31,0.11
Polson Kerr Dam,1/20/2016,39,32,0.06
Polson Kerr Dam,1/21/2016,39,28,0
Polson Kerr Dam,1/22/2016,36,28,0
Polson Kerr Dam,1/23/2016,41,26,0.06
Polson Kerr Dam,1/24/2016,39,31,0.06
Polson Kerr Dam,1/25/2016,39,28,0
Polson Kerr Dam,1/26/2016,40,24,0
Polson Kerr Dam,1/27/2016,44,24,0
Polson Kerr Dam,1/28/2016,44,24,0
Polson Kerr Dam,1/29/2016,42,31,0.05
Polson Kerr Dam,1/30/2016,38,30,0
Polson Kerr Dam,1/31/2016,35,27,0.02
Polson Kerr Dam,2/1/2016,33,23,0.11
Polson Kerr Dam,2/2/2016,33,23,0.01
Polson Kerr Dam,2/3/2016,33,13,0
Polson Kerr Dam,2/4/2016,38,25,0.05
Polson Kerr Dam,2/5/2016,38,25,0.05
Polson Kerr Dam,2/6/2016,43,30,0.03
Polson Kerr Dam,2/7/2016,43,24,0
Polson Kerr Dam,2/8/2016,42,21,0
Polson Kerr Dam,2/9/2016,41,25,0
Polson Kerr Dam,2/10/2016,46,36,0
Polson Kerr Dam,2/11/2016,51,35,0
Polson Kerr Dam,2/12/2016,51,37,0.14
Polson Kerr Dam,2/13/2016,45,35,0.01
Polson Kerr Dam,2/14/2016,47,35,0
Polson Kerr Dam,2/15/2016,52,39,0.01
Polson Kerr Dam,2/16/2016,52,39,0.03
Polson Kerr Dam,2/17/2016,48,35,0.03
Polson Kerr Dam,2/18/2016,45,37,0.16
Polson Kerr Dam,2/19/2016,47,33,0.24
Polson Kerr Dam,2/20/2016,45,35,0.09
Polson Kerr Dam,2/21/2016,41,22,0.01
Polson Kerr Dam,2/22/2016,45,30,0.001
Polson Kerr Dam,2/23/2016,43,21,0
Polson Kerr Dam,2/24/2016,40,22,0
Polson Kerr Dam,2/25/2016,44,25,0
Polson Kerr Dam,2/26/2016,45,25,0
Polson Kerr Dam,2/27/2016,50,34,0.02
Polson Kerr Dam,2/28/2016,51,29,0
Polson Kerr Dam,2/29/2016,50,29,0
Polson Kerr Dam,3/1/2016,40,26,0
Polson Kerr Dam,3/2/2016,45,30,0
Polson Kerr Dam,3/3/2016,48,30,0.09
Polson Kerr Dam,3/4/2016,54,27,0
Polson Kerr Dam,3/5/2016,58,29,0.02
Polson Kerr Dam,3/6/2016,58,27,0.12
Polson Kerr Dam,3/7/2016,58,26,0.01
Polson Kerr Dam,3/8/2016,48,30,0
Polson Kerr Dam,3/9/2016,48,30,0
Polson Kerr Dam,3/10/2016,57,36,0.07
Polson Kerr Dam,3/11/2016,52,29,0.01
Polson Kerr Dam,3/12/2016,52,36,0.18
Polson Kerr Dam,3/13/2016,51,32,0
Polson Kerr Dam,3/14/2016,49,33,0.15
Polson Kerr Dam,3/15/2016,49,29,0.05
Polson Kerr Dam,3/16/2016,45,27,0.02
Polson Kerr Dam,3/17/2016,43,28,0.24
Polson Kerr Dam,3/18/2016,41,18,0
Polson Kerr Dam,3/19/2016,44,20,0
Polson Kerr Dam,3/20/2016,50,26,0
Polson Kerr Dam,3/21/2016,57,37,0.06
Polson Kerr Dam,3/22/2016,57,32,0.34
Polson Kerr Dam,3/23/2016,48,28,0.07
Polson Kerr Dam,3/24/2016,46,36,0.08
Polson Kerr Dam,3/25/2016,46,33,0.01
Polson Kerr Dam,3/26/2016,50,31,0
Polson Kerr Dam,3/27/2016,45,20,0.03
Polson Kerr Dam,3/28/2016,43,21,0
Polson Kerr Dam,3/29/2016,53,27,0.01
Polson Kerr Dam,3/30/2016,51,28,0
Polson Kerr Dam,3/31/2016,57,28,0
Polson Kerr Dam,4/1/2016,64,28,0
Polson Kerr Dam,4/2/2016,69,33,0
Polson Kerr Dam,4/3/2016,69,38,0
Polson Kerr Dam,4/4/2016,68,36,0
Polson Kerr Dam,4/5/2016,51,38,0
Polson Kerr Dam,4/6/2016,64,38,0
Polson Kerr Dam,4/7/2016,68,35,0
Polson Kerr Dam,4/8/2016,71,34,0
Polson Kerr Dam,4/9/2016,75,34,0
Polson Kerr Dam,4/10/2016,74,46,0
Polson Kerr Dam,4/11/2016,71,34,0
Polson Kerr Dam,4/12/2016,70,41,0.03
Polson Kerr Dam,4/13/2016,57,42,0.03
Polson Kerr Dam,4/14/2016,56,37,0.25
Polson Kerr Dam,4/15/2016,52,33,0.47
Polson Kerr Dam,4/16/2016,60,33,0.01
Polson Kerr Dam,4/17/2016,64,32,0
Polson Kerr Dam,4/18/2016,68,33,0
Polson Kerr Dam,4/19/2016,71,34,0
Polson Kerr Dam,4/20/2016,75,38,0
Polson Kerr Dam,4/21/2016,76,41,0
Polson Kerr Dam,4/22/2016,73,46,0
Polson Kerr Dam,4/23/2016,71,46,0.16
Polson Kerr Dam,4/24/2016,71,45,0.5
Polson Kerr Dam,4/25/2016,55,38,0.01
Polson Kerr Dam,4/26/2016,56,44,0.15
Polson Kerr Dam,4/27/2016,60,40,0
Polson Kerr Dam,4/28/2016,58,41,0
Polson Kerr Dam,4/29/2016,53,41,0
Polson Kerr Dam,4/30/2016,58,40,0.01
Polson Kerr Dam,5/1/2016,65,34,0
Polson Kerr Dam,5/2/2016,74,35,0
Polson Kerr Dam,5/3/2016,77,40,0
Polson Kerr Dam,5/4/2016,76,39,0.02
Polson Kerr Dam,5/5/2016,74,51,0
Polson Kerr Dam,5/6/2016,74,51,0
Polson Kerr Dam,5/7/2016,68,50,0.16
Polson Kerr Dam,5/8/2016,72,39,0
Polson Kerr Dam,5/9/2016,74,41,0.09
Polson Kerr Dam,5/10/2016,74,41,0.09
Polson Kerr Dam,5/11/2016,60,35,0.09
Polson Kerr Dam,5/12/2016,65,37,0.01
Polson Kerr Dam,5/13/2016,65,34,0
Polson Kerr Dam,5/14/2016,65,44,0
Polson Kerr Dam,5/15/2016,65,28,0.01
Polson Kerr Dam,5/16/2016,65,26,0.01
Polson Kerr Dam,5/17/2016,73,45,0
Polson Kerr Dam,5/18/2016,77,47,0
Polson Kerr Dam,5/19/2016,67,48,0.84
Polson Kerr Dam,5/20/2016,67,42,0.1
Polson Kerr Dam,5/21/2016,57,46,0.13
Polson Kerr Dam,5/22/2016,57,43,0.13
Polson Kerr Dam,5/23/2016,51,45,0.25
Polson Kerr Dam,5/24/2016,58,42,0.44
Polson Kerr Dam,5/25/2016,65,40,0.1
Polson Kerr Dam,5/26/2016,63,47,0.27
Polson Kerr Dam,5/27/2016,62,40,0
Polson Kerr Dam,5/28/2016,63,36,0
Polson Kerr Dam,5/29/2016,64,38,0.15
Polson Kerr Dam,5/30/2016,65,48,0
Polson Kerr Dam,5/31/2016,67,40,0
Polson Kerr Dam,6/1/2016,74,38,0
Polson Kerr Dam,6/2/2016,68,52,0
Polson Kerr Dam,6/3/2016,78,43,0
Polson Kerr Dam,6/4/2016,81,50,0
Polson Kerr Dam,6/5/2016,84,50,0
Polson Kerr Dam,6/6/2016,88,52,0
Polson Kerr Dam,6/7/2016,88,56,0.01
Polson Kerr Dam,6/8/2016,84,55,0.02
Polson Kerr Dam,6/9/2016,77,55,0
Polson Kerr Dam,6/10/2016,75,46,0
Polson Kerr Dam,6/11/2016,69,40,0.06
Polson Kerr Dam,6/12/2016,74,39,0
Polson Kerr Dam,6/13/2016,79,38,0
Polson Kerr Dam,6/14/2016,69,46,0.33
Polson Kerr Dam,6/15/2016,63,34,0
Polson Kerr Dam,6/16/2016,60,43,0.25
Polson Kerr Dam,6/17/2016,63,27,0.01
Polson Kerr Dam,6/18/2016,68,45,0.01
Polson Kerr Dam,6/19/2016,70,45,0
Polson Kerr Dam,6/20/2016,76,40,0
Polson Kerr Dam,6/21/2016,76,42,0.01
Polson Kerr Dam,6/22/2016,78,42,0
Polson Kerr Dam,6/23/2016,79,49,0
Polson Kerr Dam,6/24/2016,80,48,0.09
Polson Kerr Dam,6/25/2016,70,48,0.01
Polson Kerr Dam,6/26/2016,75,43,0
Polson Kerr Dam,6/27/2016,83,48,0
Polson Kerr Dam,6/28/2016,88,48,0.04
Polson Kerr Dam,6/29/2016,88,54,0
Polson Kerr Dam,6/30/2016,91,56,0
Polson Kerr Dam,7/1/2016,91,54,0
Polson Kerr Dam,7/2/2016,89,56,0
Polson Kerr Dam,7/3/2016,83,52,0
Polson Kerr Dam,7/4/2016,81,52,0
Polson Kerr Dam,7/5/2016,75,45,0
Polson Kerr Dam,7/6/2016,67,50,0.24
Polson Kerr Dam,7/7/2016,74,43,0
Polson Kerr Dam,7/8/2016,74,56,0
Polson Kerr Dam,7/9/2016,72,50,0.1
Polson Kerr Dam,7/10/2016,72,48,0
Polson Kerr Dam,7/11/2016,67,47,0.9
Polson Kerr Dam,7/12/2016,75,45,0
Polson Kerr Dam,7/13/2016,75,43,0.18
Polson Kerr Dam,7/14/2016,84,49,0.2
Polson Kerr Dam,7/15/2016,78,51,0
Polson Kerr Dam,7/16/2016,82,50,0
Polson Kerr Dam,7/17/2016,69,48,0
Polson Kerr Dam,7/18/2016,74,49,0.01
Polson Kerr Dam,7/19/2016,83,54,0.05
Polson Kerr Dam,7/20/2016,83,53,0
Polson Kerr Dam,7/21/2016,88,51,0
Polson Kerr Dam,7/22/2016,88,51,0
Polson Kerr Dam,7/23/2016,79,51,0.01
Polson Kerr Dam,7/24/2016,83,48,0
Polson Kerr Dam,7/25/2016,86,54,0
Polson Kerr Dam,7/26/2016,87,54,0
Polson Kerr Dam,7/27/2016,82,52,0
Polson Kerr Dam,7/28/2016,87,44,0
Polson Kerr Dam,7/29/2016,90,44,0
Polson Kerr Dam,7/30/2016,92,58,0
Polson Kerr Dam,7/31/2016,91,54,0
Polson Kerr Dam,8/1/2016,91,48,0
Polson Kerr Dam,8/2/2016,92,48,0
Polson Kerr Dam,8/3/2016,90,54,0
Polson Kerr Dam,8/4/2016,77,37,0
Polson Kerr Dam,8/5/2016,87,48,0
Polson Kerr Dam,8/6/2016,86,62,0
Polson Kerr Dam,8/7/2016,79,53,0
Polson Kerr Dam,8/8/2016,79,52,0
Polson Kerr Dam,8/9/2016,79,52,0.15
Polson Kerr Dam,8/10/2016,66,51,0.01
Polson Kerr Dam,8/11/2016,78,37,0.01
Polson Kerr Dam,8/12/2016,82,52,0
Polson Kerr Dam,8/13/2016,86,52,0
Polson Kerr Dam,8/14/2016,89,54,0
Polson Kerr Dam,8/15/2016,88,56,0
