Station,Date,TMaxF,TMinF,PrecipIn
Hungry Horse Dam,1/1/2017,30,16,0.16
Hungry Horse Dam,1/2/2017,21,1,0
Hungry Horse Dam,1/3/2017,12,-1,0
Hungry Horse Dam,1/4/2017,6,-9,0
Hungry Horse Dam,1/5/2017,0,-12,0
Hungry Horse Dam,1/6/2017,6,-10,0
Hungry Horse Dam,1/7/2017,15,-2,0
Hungry Horse Dam,1/8/2017,13,-2,0.12
Hungry Horse Dam,1/9/2017,22,3,0.55
Hungry Horse Dam,1/10/2017,34,19,0.1
Hungry Horse Dam,1/11/2017,28,-9,0
Hungry Horse Dam,1/12/2017,2,-14,0
Hungry Horse Dam,1/13/2017,9,-7,0
Hungry Horse Dam,1/14/2017,11,-8,0
Hungry Horse Dam,1/15/2017,13,-6,0
Hungry Horse Dam,1/16/2017,8,-7,0
Hungry Horse Dam,1/17/2017,14,-5,0
Hungry Horse Dam,1/18/2017,24,14,0
Hungry Horse Dam,1/19/2017,37,24,0.18
Hungry Horse Dam,1/20/2017,39,31,0
Hungry Horse Dam,1/21/2017,37,18,0
Hungry Horse Dam,1/22/2017,30,18,0
Hungry Horse Dam,1/23/2017,33,24,0.1
Hungry Horse Dam,1/24/2017,30,10,0
Hungry Horse Dam,1/25/2017,26,12,0
Hungry Horse Dam,1/26/2017,30,22,0
Hungry Horse Dam,1/27/2017,28,19,0
Hungry Horse Dam,1/28/2017,31,23,0
Hungry Horse Dam,1/29/2017,35,14,0
Hungry Horse Dam,1/30/2017,42,13,0
Hungry Horse Dam,1/31/2017,41,27,0
Hungry Horse Dam,2/1/2017,29,2,0
Hungry Horse Dam,2/2/2017,21,-4,0
Hungry Horse Dam,2/3/2017,13,-7,0
Hungry Horse Dam,2/4/2017,12,-2,0.87
Hungry Horse Dam,2/5/2017,23,12,0.26
Hungry Horse Dam,2/6/2017,40,8,0.72
Hungry Horse Dam,2/7/2017,13,6,0.05
Hungry Horse Dam,2/8/2017,17,4,0.1
Hungry Horse Dam,2/9/2017,20,5,1.19
Hungry Horse Dam,2/10/2017,49,19,0.12
Hungry Horse Dam,2/11/2017,43,31,0
Hungry Horse Dam,2/12/2017,40,21,0
Hungry Horse Dam,2/13/2017,38,21,0
Hungry Horse Dam,2/14/2017,39,18,0
Hungry Horse Dam,2/15/2017,39,18,0
Hungry Horse Dam,2/16/2017,41,21,0.25
Hungry Horse Dam,2/17/2017,42,32,1.04
Hungry Horse Dam,2/18/2017,44,28,0
Hungry Horse Dam,2/19/2017,35,28,0.62
Hungry Horse Dam,2/20/2017,45,29,0
Hungry Horse Dam,2/21/2017,40,32,0.27
Hungry Horse Dam,2/22/2017,37,31,0.26
Hungry Horse Dam,2/23/2017,40,21,0
Hungry Horse Dam,2/24/2017,35,13,0
Hungry Horse Dam,2/25/2017,34,13,0
Hungry Horse Dam,2/26/2017,29,20,0.09
Hungry Horse Dam,2/27/2017,24,12,0.36
Hungry Horse Dam,2/28/2017,29,12,0.3
Hungry Horse Dam,3/1/2017,36,20,0.09
Hungry Horse Dam,3/2/2017,39,31,0.1
Hungry Horse Dam,3/3/2017,42,31,0
Hungry Horse Dam,3/4/2017,46,35,0
Hungry Horse Dam,3/5/2017,44,31,0.52
Hungry Horse Dam,3/6/2017,36,15,0.17
Hungry Horse Dam,3/7/2017,34,19,0.03
Hungry Horse Dam,3/8/2017,35,24,0.35
Hungry Horse Dam,3/9/2017,40,20,0.04
Hungry Horse Dam,3/10/2017,26,16,0.36
Hungry Horse Dam,3/11/2017,39,17,0
Hungry Horse Dam,3/12/2017,51,31,0.26
Hungry Horse Dam,3/13/2017,47,35,0.08
Hungry Horse Dam,3/14/2017,44,34,0.37
Hungry Horse Dam,3/15/2017,44,36,0.77
Hungry Horse Dam,3/16/2017,47,37,0.74
Hungry Horse Dam,3/17/2017,47,27,0
Hungry Horse Dam,3/18/2017,47,27,0.13
Hungry Horse Dam,3/19/2017,52,37,0.84
Hungry Horse Dam,3/20/2017,49,22,0
Hungry Horse Dam,3/21/2017,48,22,0.01
Hungry Horse Dam,3/22/2017,49,33,0.24
Hungry Horse Dam,3/23/2017,53,34,0.15
Hungry Horse Dam,3/24/2017,47,28,0
Hungry Horse Dam,3/25/2017,44,30,0.32
Hungry Horse Dam,3/26/2017,48,32,0.01
Hungry Horse Dam,3/27/2017,49,33,0.09
Hungry Horse Dam,3/28/2017,44,35,0.12
Hungry Horse Dam,3/29/2017,43,36,0.1
Hungry Horse Dam,3/30/2017,41,37,0.41
Hungry Horse Dam,3/31/2017,49,33,0
Hungry Horse Dam,4/1/2017,53,31,0
Hungry Horse Dam,4/2/2017,53,32,0
Hungry Horse Dam,4/3/2017,49,32,0.02
Hungry Horse Dam,4/4/2017,40,25,0.1
Hungry Horse Dam,4/5/2017,49,27,0
Hungry Horse Dam,4/6/2017,51,33,0.1
Hungry Horse Dam,4/7/2017,58,38,0.09
Hungry Horse Dam,4/8/2017,54,32,0.6
Hungry Horse Dam,4/9/2017,51,34,0.19
Hungry Horse Dam,4/10/2017,44,28,0
Hungry Horse Dam,4/11/2017,41,29,0.08
Hungry Horse Dam,4/12/2017,51,34,0
Hungry Horse Dam,4/13/2017,44,36,0.38
Hungry Horse Dam,4/14/2017,49,34,0.23
Hungry Horse Dam,4/15/2017,49,33,0.15
Hungry Horse Dam,4/16/2017,45,31,0
Hungry Horse Dam,4/17/2017,53,33,0
Hungry Horse Dam,4/18/2017,46,32,0.25
Hungry Horse Dam,4/19/2017,57,36,0.17
Hungry Horse Dam,4/20/2017,59,32,0
Hungry Horse Dam,4/21/2017,55,34,0.1
Hungry Horse Dam,4/22/2017,54,34,0.08
Hungry Horse Dam,4/23/2017,62,35,0
Hungry Horse Dam,4/24/2017,56,39,0.1
Hungry Horse Dam,4/25/2017,52,37,0.04
Hungry Horse Dam,4/26/2017,45,36,0.28
Hungry Horse Dam,4/27/2017,45,37,0.61
Hungry Horse Dam,4/28/2017,47,37,0.16
Hungry Horse Dam,4/29/2017,50,37,0.32
Hungry Horse Dam,4/30/2017,52,38,0.22
Hungry Horse Dam,5/1/2017,53,37,0.22
Hungry Horse Dam,5/2/2017,55,37,0.31
Hungry Horse Dam,5/3/2017,51,40,0
Hungry Horse Dam,5/4/2017,63,40,0
Hungry Horse Dam,5/5/2017,74,42,0
Hungry Horse Dam,5/6/2017,73,46,0
Hungry Horse Dam,5/7/2017,66,43,0
Hungry Horse Dam,5/8/2017,47,33,0.09
Hungry Horse Dam,5/9/2017,62,38,0
Hungry Horse Dam,5/10/2017,65,41,0
Hungry Horse Dam,5/11/2017,73,43,0
Hungry Horse Dam,5/12/2017,80,46,0
Hungry Horse Dam,5/13/2017,56,38,0.15
Hungry Horse Dam,5/14/2017,52,38,0.02
Hungry Horse Dam,5/15/2017,49,36,0.02
Hungry Horse Dam,5/16/2017,59,37,0
Hungry Horse Dam,5/17/2017,50,39,0
Hungry Horse Dam,5/18/2017,53,38,0
Hungry Horse Dam,5/19/2017,57,41,0
Hungry Horse Dam,5/20/2017,64,42,0
Hungry Horse Dam,5/21/2017,64,42,0.03
Hungry Horse Dam,5/22/2017,72,42,0
Hungry Horse Dam,5/23/2017,64,44,0
Hungry Horse Dam,5/24/2017,80,49,0
Hungry Horse Dam,5/25/2017,58,41,0.17
Hungry Horse Dam,5/26/2017,64,39,0
Hungry Horse Dam,5/27/2017,67,40,0
Hungry Horse Dam,5/28/2017,75,47,0
